Plate ID,Well ,Sample ID,User ID,Date ,Time ,Conc. ,Units ,A260 ,A280 ,260/280 ,260/230 ,Conc. Factor (ng/ul),Cursor Pos.,Cursor abs.,340 raw,NA Type
Plate1_RNA,B11,,Default,02/25/21,11:37:00 AM,25.61,ng/ul,0.64,0.322,1.99,1.71,40,260,0.64,0.129,RNA-40
Plate1_RNA,C11,,Default,02/25/21,11:37:00 AM,28.08,ng/ul,0.702,0.354,1.98,1.54,40,260,0.702,0.198,RNA-40
Plate1_RNA,D11,,Default,02/25/21,11:37:00 AM,28.06,ng/ul,0.701,0.357,1.96,1.73,40,260,0.701,0.112,RNA-40
Plate1_RNA,E11,,Default,02/25/21,11:37:00 AM,44.56,ng/ul,1.114,0.591,1.88,1.13,40,260,1.114,1.013,RNA-40
Plate1_RNA,F11,,Default,02/25/21,11:37:00 AM,30.76,ng/ul,0.769,0.404,1.9,1.17,40,260,0.769,0.434,RNA-40
Plate1_RNA,G11,,Default,02/25/21,11:37:00 AM,26.82,ng/ul,0.67,0.32,2.09,1.69,40,260,0.67,0.093,RNA-40
Plate1_RNA,H11,,Default,02/25/21,11:37:00 AM,44.75,ng/ul,1.119,0.603,1.85,1.17,40,260,1.119,0.792,RNA-40
Plate1_RNA,A12,,Default,02/25/21,11:38:00 AM,30.17,ng/ul,0.754,0.383,1.97,2.36,40,260,0.754,0.479,RNA-40
Plate1_RNA,B12,,Default,02/25/21,11:38:00 AM,29.13,ng/ul,0.728,0.357,2.04,1.83,40,260,0.728,0.227,RNA-40
Plate1_RNA,C12,,Default,02/25/21,11:38:00 AM,40.67,ng/ul,1.017,0.516,1.97,1.31,40,260,1.017,0.403,RNA-40
Plate1_RNA,D12,,Default,02/25/21,11:38:00 AM,30.75,ng/ul,0.769,0.392,1.96,1.28,40,260,0.769,0.25,RNA-40
Plate1_RNA,E12,,Default,02/25/21,11:38:00 AM,38.83,ng/ul,0.971,0.489,1.98,1.29,40,260,0.971,0.484,RNA-40
Plate1_RNA,F12,,Default,02/25/21,11:38:00 AM,141.1,ng/ul,3.526,2.222,1.59,0.8,40,260,3.526,6.799,RNA-40
Plate1_RNA,G12,,Default,02/25/21,11:38:00 AM,27.86,ng/ul,0.697,0.334,2.08,1.43,40,260,0.697,0.23,RNA-40
Plate1_RNA,H12,,Default,02/25/21,11:38:00 AM,86.14,ng/ul,2.153,1.363,1.58,0.78,40,260,2.153,5.492,RNA-40
Plate2_RNA,A1,,Default,02/09/21,05:38:00 PM,69.88,ng/ul,1.747,0.844,2.07,1.68,40,260,1.747,0.323,RNA-40
Plate2_RNA,B1,,Default,02/09/21,05:38:00 PM,14.89,ng/ul,0.372,0.168,2.22,1.79,40,260,0.372,0.019,RNA-40
Plate2_RNA,C1,,Default,02/09/21,05:38:00 PM,15.1,ng/ul,0.377,0.167,2.26,1.85,40,260,0.377,0.081,RNA-40
Plate2_RNA,D1,,Default,02/09/21,05:38:00 PM,29.29,ng/ul,0.732,0.337,2.17,1.98,40,260,0.732,0.064,RNA-40
Plate2_RNA,E1,,Default,02/09/21,05:38:00 PM,35.14,ng/ul,0.879,0.415,2.12,1.77,40,260,0.879,0.143,RNA-40
Plate2_RNA,F1,,Default,02/09/21,05:38:00 PM,43.78,ng/ul,1.094,0.552,1.98,1.43,40,260,1.094,0.525,RNA-40
Plate2_RNA,G1,,Default,02/09/21,05:38:00 PM,20.77,ng/ul,0.519,0.242,2.14,1.97,40,260,0.519,0.085,RNA-40
Plate2_RNA,H1,,Default,02/09/21,05:38:00 PM,62.99,ng/ul,1.575,0.798,1.97,1.21,40,260,1.575,0.908,RNA-40
Plate2_RNA,A2,,Default,02/09/21,05:44:00 PM,19.77,ng/ul,0.494,0.229,2.16,1.69,40,260,0.494,-0.007,RNA-40
Plate2_RNA,B2,,Default,02/09/21,05:44:00 PM,15.45,ng/ul,0.386,0.184,2.1,1.29,40,260,0.386,0.128,RNA-40
Plate2_RNA,C2,,Default,02/09/21,05:44:00 PM,23.78,ng/ul,0.594,0.273,2.18,1.76,40,260,0.594,0.07,RNA-40
Plate2_RNA,D2,,Default,02/09/21,05:44:00 PM,24.19,ng/ul,0.605,0.268,2.25,1.9,40,260,0.605,0.058,RNA-40
Plate2_RNA,E2,,Default,02/09/21,05:44:00 PM,9.294,ng/ul,0.232,0.088,2.63,1.87,40,260,0.232,0.069,RNA-40
Plate2_RNA,F2,,Default,02/09/21,05:44:00 PM,36.51,ng/ul,0.913,0.425,2.14,1.95,40,260,0.913,0.135,RNA-40
Plate2_RNA,G2,,Default,02/09/21,05:44:00 PM,14.83,ng/ul,0.371,0.164,2.26,1.95,40,260,0.371,0.048,RNA-40
Plate2_RNA,H2,,Default,02/09/21,05:44:00 PM,5.578,ng/ul,0.139,0.038,3.65,2.08,40,260,0.139,0.018,RNA-40
Plate2_RNA,A3,,Default,02/09/21,05:47:00 PM,43.96,ng/ul,1.099,0.629,1.75,0.8,40,260,1.099,1.203,RNA-40
Plate2_RNA,B3,,Default,02/09/21,05:47:00 PM,41.46,ng/ul,1.036,0.492,2.11,1.99,40,260,1.036,0.024,RNA-40
Plate2_RNA,C3,,Default,02/09/21,05:47:00 PM,33.46,ng/ul,0.836,0.382,2.19,2.03,40,260,0.836,0.058,RNA-40
Plate2_RNA,D3,,Default,02/09/21,05:47:00 PM,21.43,ng/ul,0.536,0.248,2.16,1.77,40,260,0.536,0.091,RNA-40
