Time,Untitled 16,Untitled 17,Untitled 18,Flow,Set to (mL/min),Time0
02/12/20 11:25 PM,-0.041376,0,501.272038,234,300,08:25:00 AM
02/12/20 11:30 PM,-0.041406,0,499.014139,234,300,08:29:58 AM
02/12/20 11:35 PM,-0.041281,0,502.021119,216,300,08:35:00 AM
02/12/20 11:40 PM,-0.041484,0,503.818423,234,300,08:39:56 AM
02/12/20 11:45 PM,-0.041009,0,508.322746,216,300,08:45:01 AM
02/12/20 11:50 PM,-0.041396,0,501.574457,216,300,08:49:59 AM
02/12/20 11:55 PM,-0.04131,0.22301,503.224239,234,300,08:54:56 AM
02/13/20 12:00 AM,-0.041337,2.438195,503.860221,216,300,08:59:55 AM
02/13/20 12:05 AM,2.891627,2.636857,499.888614,234,300,09:04:56 AM
02/13/20 12:10 AM,-0.002152,0.597782,499.489486,234,300,09:09:59 AM
02/13/20 12:15 AM,-0.041579,0.353225,499.677986,216,300,09:15:00 AM
02/13/20 12:20 AM,-0.041029,0.576146,503.075078,234,300,09:19:56 AM
02/13/20 12:25 AM,-0.040488,1.300313,502.874285,216,300,09:24:58 AM
02/13/20 12:30 AM,-0.041343,0,499.959096,234,300,09:30:00 AM
02/13/20 12:35 AM,-0.041284,0,497.724146,216,300,09:34:56 AM
02/13/20 12:40 AM,-0.041343,0.80169,500.180379,216,300,09:39:58 AM
02/13/20 12:45 AM,-0.041612,0,501.975224,216,300,09:45:00 AM
02/13/20 12:50 AM,-0.027863,0.573851,504.10527,216,300,09:50:00 AM
02/13/20 12:55 AM,-0.040858,0,505.713255,216,300,09:54:55 AM
02/13/20 01:00 AM,-0.041399,2.141581,502.643168,216,300,09:59:57 AM
02/13/20 01:05 AM,2.469578,3.03425,501.653954,216,300,10:04:57 AM
02/13/20 01:10 AM,1.555046,0.635878,504.502759,216,300,10:09:59 AM
02/13/20 01:15 AM,-0.040884,0.608669,502.048165,216,300,10:14:56 AM
02/13/20 01:20 AM,-0.040976,0,501.579374,216,300,10:19:55 AM
02/13/20 01:25 AM,-0.04154,0.14414,506.754101,216,300,10:24:57 AM
02/13/20 01:30 AM,-0.041094,0,509.131656,216,300,10:29:58 AM
02/13/20 01:35 AM,-0.041642,0.739471,505.639494,216,300,10:34:56 AM
02/13/20 01:40 AM,-0.041251,0.071363,502.895594,216,300,10:39:57 AM
02/13/20 01:45 AM,-0.041543,0.49688,501.108944,216,300,10:44:55 AM
02/13/20 01:50 AM,-0.04131,0.200526,501.481846,216,300,10:49:56 AM
02/13/20 01:55 AM,-0.040402,0,503.210306,216,300,10:54:56 AM
02/13/20 02:00 AM,-0.041491,3.180201,505.344451,216,300,10:59:58 AM
02/13/20 02:05 AM,2.737113,2.822215,506.86802,216,300,11:05:00 AM
02/13/20 02:10 AM,-0.003256,1.821036,500.163987,216,300,11:09:57 AM
02/13/20 02:15 AM,-0.038331,0.002588,502.525151,216,300,11:15:00 AM
02/13/20 02:20 AM,-0.041678,0,503.470108,216,300,11:19:59 AM
02/13/20 02:25 AM,-0.04136,0,505.419851,216,300,11:24:56 AM
02/13/20 02:30 AM,-0.041658,0,503.195554,216,300,11:30:01 AM
