Time,Tank 1 ,Tank 2,Tank 3,Tank 4,Tank 5 ,Tank 6,Tank 7,Tank 8,Tank 9,Tank 10,Tank 11,Tank 12
08/15/2020 15:20:00,28.00053,28.04831,28.03221,28.05952,28.00933,28.00507,28.13428,28.00948,28.00821,28.00767,28.02129,28.01203
08/15/2020 15:25:00,28.03618,28.02734,28.03123,28.05618,28.01084,28.02243,28.13846,28.00169,28.00828,28.00569,28.00877,27.9982
08/15/2020 15:30:00,28.038,28.00521,28.01275,28.04696,27.99453,28.02249,28.13712,28.06267,28.01279,28.04313,28.00543,28.04277
08/15/2020 15:35:00,28.01711,27.99804,28.00361,28.03854,28.01734,28.00071,28.12992,28.02901,28.00725,28.04332,28.00243,28.0644
08/15/2020 15:40:00,28.00384,28.03298,27.99933,28.02842,28.01584,28.00022,28.12148,28.01054,28.01294,28.02669,28.00856,28.05224
08/15/2020 15:45:00,27.995,28.05272,28.04382,28.02059,28.02205,28.02898,28.12548,27.99638,28.03449,28.00656,28.00205,28.03352
08/15/2020 15:50:00,28.04468,28.03873,28.05719,28.01321,28.01236,28.02474,28.11977,28.06978,28.02218,27.98779,28.00184,28.01479
08/15/2020 15:55:00,28.05347,28.0341,28.05693,28.01062,28.0092,28.01366,28.11741,28.03829,28.0173,28.05629,28.03023,28.00487
08/15/2020 16:00:00,28.04334,28.01621,28.04037,28.00408,28.00551,27.992,28.11369,28.01938,28.01025,28.06399,28.03567,28.00449
08/15/2020 16:05:00,28.03142,28.00259,28.0351,28.01723,28.00826,28.01792,28.10482,27.99817,27.99476,28.04601,28.02082,28.05308
08/15/2020 16:10:00,28.02169,28.02264,28.02066,28.01423,28.02941,28.03375,28.1101,28.05917,28.05214,28.02521,28.00367,28.05113
08/15/2020 16:15:00,28.00538,28.04301,28.00687,28.01013,28.03341,28.02731,28.10607,28.06327,28.0648,28.00499,27.99867,28.03642
08/15/2020 16:20:00,28.00605,28.02554,28.00074,28.00826,28.03165,28.01018,28.09678,28.03677,28.05137,27.98727,28.01531,28.02551
08/15/2020 16:25:00,28.05454,28.00582,28.02665,27.9974,28.01946,27.99286,28.09769,28.00964,28.0506,28.04134,28.04118,27.99954
08/15/2020 16:30:00,28.05791,28.00026,28.0479,28.02195,28.01307,28.02893,28.08765,27.9989,28.02882,28.05976,28.03251,28.00785
08/15/2020 16:35:00,28.0448,28.02408,28.02924,28.03052,28.00651,28.05745,28.08873,28.06955,28.01513,28.05634,28.02859,28.04719
08/15/2020 16:40:00,28.02547,28.03157,28.02177,28.02077,27.99885,28.05242,28.09325,28.03778,28.00654,28.0327,28.01433,28.03944
08/15/2020 16:45:00,28.01221,28.01782,28.00703,28.01221,28.02339,28.03587,28.09302,28.0123,28.00966,28.01656,28.004,28.02193
