Time,Untitled,Untitled 1,Untitled 2,Untitled 3,Salinity,Untitled 5,Untitled 6,Untitled 7,,
08/20/2020 00:25:00,2.574185,198.8633,151.6856,52.09286,31.44103,30.44527,29.02146,-13.5288,,
08/20/2020 00:30:00,2.570087,199.2934,150.0454,53.08445,31.82254,31.02968,29.45829,-14.1028,,
08/20/2020 00:35:00,2.570907,199.5843,153.6208,53.74005,32.11763,30.11513,29.67773,-11.2532,,
08/20/2020 00:40:00,2.603609,199.3794,156.4502,51.3799,30.40053,29.29695,29.89922,-11.9912,,
08/20/2020 00:45:00,2.5932,197.4745,150.645,51.06849,30.41247,30.34069,29.55058,-13.6518,,
08/20/2020 00:50:00,2.580414,197.9333,150.9805,51.03981,30.24295,30.3776,29.79052,-14.4103,,
08/20/2020 00:55:00,2.610821,199.6949,152.2089,53.60483,31.90494,30.53549,29.8623,-14.8203,,
08/20/2020 01:00:00,2.616886,200.2315,151.3086,53.68269,31.64564,30.93945,30.3381,-12.9752,,
08/20/2020 01:05:00,2.536811,197.409,149.9742,51.19551,30.68602,30.51089,29.2532,-13.0983,,
08/20/2020 01:10:00,2.543532,198.4167,151.9893,51.83882,30.8483,30.23406,29.67363,-12.1347,,
08/20/2020 01:15:00,2.57312,199.277,153.6793,52.1912,31.43355,30.0126,29.13425,-11.4787,,
08/20/2020 01:20:00,2.561891,197.7899,152.0946,51.63804,30.99003,30.02695,29.24295,-13.0778,,
08/20/2020 01:25:00,2.600084,198.175,153.2836,50.5686,30.93052,29.80959,28.21547,-13.3238,,
08/20/2020 01:30:00,2.568202,198.5437,151.5732,52.46163,31.1188,30.3858,29.89922,-11.9912,,
08/20/2020 01:35:00,2.592298,198.7322,151.8686,52.56817,30.93424,30.35709,30.29914,-14.6973,,
08/20/2020 01:40:00,2.597462,198.5724,152.3489,52.06828,30.8952,30.17869,29.83974,-12.1962,,
08/20/2020 01:45:00,2.606887,198.8633,155.7289,52.91236,31.52145,29.34411,29.7413,-10.4537,,
08/20/2020 01:50:00,2.605576,199.6375,153.7058,52.95333,31.36119,30.10692,30.03047,-12.6062,,
08/20/2020 01:55:00,2.615083,200.2356,152.074,53.08855,30.95963,30.7262,30.79954,-12.8522,,
08/20/2020 02:00:00,2.620165,200.4691,154.6855,52.90416,31.06586,30.07411,30.44064,-12.3807,,
08/20/2020 02:05:00,2.612051,200.973,154.73,53.87937,32.61889,30.2033,29.07273,-13.2828,,
08/20/2020 02:10:00,2.602789,200.2684,152.0926,53.3303,30.90201,30.7303,31.14203,-11.8272,,
08/20/2020 02:15:00,2.586971,199.0558,150.769,52.55178,30.93123,30.75695,30.28683,-13.6518,,
08/20/2020 02:20:00,2.592134,199.8669,156.6306,52.65422,31.77915,29.38512,29.08503,-11.7452,,
08/20/2020 02:25:00,2.596478,199.8423,150.344,53.78512,32.06753,31.10145,29.79873,-13.8158,,
08/20/2020 02:30:00,2.603445,199.3057,151.5188,53.11314,31.77148,30.61752,29.56493,-12.1757,,
08/20/2020 02:35:00,2.620411,200.166,151.1988,53.44913,31.59607,30.95176,30.17608,-11.4992,,
08/20/2020 02:40:00,2.608608,198.6297,152.75,52.87958,31.53564,30.08437,29.68593,-12.2372,,
08/20/2020 02:45:00,2.596068,199.9816,156.488,52.96153,31.33223,29.45484,30.0838,-10.0642,,
08/20/2020 02:50:00,2.630328,200.3872,155.8269,53.38767,31.72631,29.74397,29.91358,-12.0527,,
08/20/2020 02:55:00,2.587627,200.1291,155.3129,53.15001,32.48016,29.80959,28.54566,-13.6928,,
08/20/2020 03:00:00,2.590741,200.6453,154.4822,53.51059,31.66888,30.17869,30.12686,-13.7133,,
08/20/2020 03:05:00,2.580496,198.7404,155.7461,52.70748,31.93404,29.30515,28.90661,-15.0048,,
08/20/2020 03:10:00,2.584348,199.4286,156.3858,52.91236,31.83137,29.32771,29.26961,-13.1803,,
08/20/2020 03:15:00,2.623361,200.6412,155.5789,54.33828,32.4657,29.88136,29.75771,-12.0322,,
