Time,Period,Tank 1,Tank 2,Tank 3,Tank 4,Tank 5,Tank 6,Tank 7,Tank 8,Tank 9,Tank 10,Tank 11,Tank 12
07/28/2020 08:00:00,Acclimation,,,,,Kelsey-1,Cooper9,Elkhorn,Acerv2,,,,
07/28/2020 08:05:00,Acclimation,,,,,Kelsey-1,Cooper9,Elkhorn,Acerv2,,,,
07/28/2020 08:10:00,Acclimation,,,,,Kelsey-1,Cooper9,Elkhorn,Acerv2,,,,
07/28/2020 08:15:00,Acclimation,,,,,Kelsey-1,Cooper9,Elkhorn,Acerv2,,,,
07/28/2020 08:20:00,Acclimation,,,,,Kelsey-1,Cooper9,Elkhorn,Acerv2,,,,
07/28/2020 08:25:00,Acclimation,,,,,Kelsey-1,Cooper9,Elkhorn,Acerv2,,,,
07/28/2020 08:30:00,Acclimation,,,,,Kelsey-1,Cooper9,Elkhorn,Acerv2,,,,
07/28/2020 08:35:00,Acclimation,,,,,Kelsey-1,Cooper9,Elkhorn,Acerv2,,,,
07/28/2020 08:40:00,Acclimation,,,,,Kelsey-1,Cooper9,Elkhorn,Acerv2,,,,
07/28/2020 08:45:00,Acclimation,,,,,Kelsey-1,Cooper9,Elkhorn,Acerv2,,,,
07/28/2020 08:50:00,Acclimation,,,,,Kelsey-1,Cooper9,Elkhorn,Acerv2,,,,
07/28/2020 08:55:00,Acclimation,,,,,Kelsey-1,Cooper9,Elkhorn,Acerv2,,,,
07/28/2020 09:00:00,Acclimation,,,,,Kelsey-1,Cooper9,Elkhorn,Acerv2,,,,
07/28/2020 09:05:00,Acclimation,,,,,Kelsey-1,Cooper9,Elkhorn,Acerv2,,,,
07/28/2020 09:10:00,Acclimation,,,,,Kelsey-1,Cooper9,Elkhorn,Acerv2,,,,
07/28/2020 09:15:00,Acclimation,,,,,Kelsey-1,Cooper9,Elkhorn,Acerv2,,,,
07/28/2020 09:20:00,Acclimation,,,,,Kelsey-1,Cooper9,Elkhorn,Acerv2,,,,
07/28/2020 09:25:00,Acclimation,,,,,Kelsey-1,Cooper9,Elkhorn,Acerv2,,,,
07/28/2020 09:30:00,Acclimation,,,,,Kelsey-1,Cooper9,Elkhorn,Acerv2,,,,
07/28/2020 09:35:00,Acclimation,,,,,Kelsey-1,Cooper9,Elkhorn,Acerv2,,,,
07/28/2020 09:40:00,Acclimation,,,,,Kelsey-1,Cooper9,Elkhorn,Acerv2,,,,
